"group","code","country","year","pop","region","Agriculture","Electricity.cooling","Manufacturing","Others","Public.water.supply","households","label","total"
,,"EU",,449161260,"Average",360.628327502249,390.698987074416,154.28574156683,16.9570242014291,248.068454804022,,"EU :NA:",1170.63853514895
"EU","EL","Greece",2023,10388816,"Southern Europe",1883.18953661718,30.1166862834771,52.3218087446747,,191.212340687121,163.726784259742,"Greece :GR:",2320.56715659219
"Non-EU","TR","Türkiye",2023,85325965,"Southern Europe",1753.46262314126,4.06499141344013,23.0477949175934,5.68328183395658,119.522339494941,88.755490697956,"Türkiye :TR:",1994.53652149914
"EU","ES","Spain",2023,48352528,"Southern Europe",1178.36056738889,328.772599053557,33.611592747582,,186.143671545443,126.435075169511,"Spain :ES:",1853.32350590498
"EU","IT","Italy",2023,58984216,"Southern Europe",815.39343450379,186.838932388378,307.31230440472,,215.35649630736,175.056748789976,"Italy :IT:",1699.95791639422
"EU","PT","Portugal",2023,11067026,"Southern Europe",913.289375146853,218.741865954613,141.528660894355,,205.522291891716,,"Portugal :PT:",1479.08219388754
"EU","SI","Slovenia",2023,2120461,"Southern Europe",6.072600405651,935.826483790004,42.637407103507,1.42124690345023,146.717181400639,96.7036518812012,"Slovenia :SI:",1229.37857148445
"EU","HR","Croatia",2023,3856431,"Southern Europe",21.3129136297052,140.807316046919,16.0557282677113,1.49190395407937,196.239030236828,138.586842885841,"Croatia :HR:",514.493735021084
"EU","MT","Malta",2023,552747,"Southern Europe",97.6443160066468,34.2002934236479,4.95656426429679,0,40.3558780302509,27.5490523906152,"Malta :MT:",204.706104115458
"EU","BG","Bulgaria",2023,6446596,"Eastern Europe",342.030353204903,1251.9721887504,86.2725667253918,9.90222071281591,207.538288547015,141.50436687941,"Bulgaria :BG:",2039.21998481994
"Non-EU","RS","Serbia",2023,6623183,"Eastern Europe",180.809475832895,1469.30967320623,27.590922072876,7.23899754535728,173.923287341181,124.737068530131,"Serbia :RS:",1983.60942452867
"Non-EU","BA","Bosnia and Herzegovina",2023,3429142,"Eastern Europe",9.10807330589657,1440.99307144869,46.6589018477508,5.91225811084514,274.440629875041,,"Bosnia and Herzegovina :BA:",1777.11293458822
"Non-EU","ME","Montenegro",2023,620188,"Eastern Europe",7.95163216527096,1278.44574923856,5.30108811018064,,156.591967692806,107.137165788681,"Montenegro :ME:",1555.4276029955
"EU","HU","Hungary",2023,9592186,"Eastern Europe",166.088385372376,924.43966998492,44.8995600697119,6.28365344487062,127.432039428086,104.777517420996,"Hungary :HU:",1373.92082572096
"EU","RO","Romania",2023,19061402,"Eastern Europe",400.867464544893,57.9238394448161,503.635566785696,,119.363746944236,66.7686899814133,"Romania :RO:",1148.55930770106
"Non-EU","AL","Albania",2023,2576364,"Eastern Europe",598.592349847272,29.137378550036,3.50924632171966,8.29458221497375,107.639338878237,96.3223109720148,"Albania :AL:",843.495206784254
"Non-EU","MK","North Macedonia",2023,1828101,"Eastern Europe",343.495903934986,12.8885897637037,78.5304771648921,14.9867322833764,138.469575257785,102.367212536073,"North Macedonia :MK:",690.738490940816
"EU","PL","Poland",2023,36687353,"Eastern Europe",62.4230640542906,325.176444691952,32.529592896338,3.77122231695379,99.3601497019676,76.9463605573632,"Poland :PL:",600.206834218866
"EU","SK","Slovakia",2023,5426740,"Eastern Europe",12.0155893689498,29.1807170388782,80.2722146917236,5.20002397059593,162.967741525084,,"Slovakia :SK:",289.636286595232
"EU","CZ","Czechia",2023,10864042,"Eastern Europe",11.1212675547664,66.0467113966738,44.2328872813157,5.90108074334542,93.7553461582739,64.2120460482036,"Czechia :CZ:",285.269339182579
"EU","NL","Netherlands",2023,17877117,"Western Europe",25.838495559389,998.781988491401,381.477954605167,,121.654865161795,85.6354616094367,"Netherlands :NL:",1613.38876542719
"EU","AT","Austria",2023,9131761,"Western Europe",29.0120938173168,533.73852017587,415.079956528003,,207.224955528653,,"Austria :AT:",1185.05552604984
"EU","BE","Belgium",2023,11779946,"Western Europe",10.1170312828073,698.726369722713,254.809643067671,9.32627481472582,110.765896595098,72.9686945179545,"Belgium :BE:",1156.71391000097
"EU","FR","France",2023,68552653,"Western Europe",121.218693224004,640.027986055568,57.0344522435715,3.34909053185572,235.643288710354,,"France :FR:",1057.27351076535
"EU","DE","Germany",2023,83287273,"Western Europe",14.7138861426618,398.383483783924,131.145363902446,72.4279778871291,93.0555167848162,82.761113341048,"Germany :DE:",792.487341842025
"EU","LU","Luxembourg",2023,666430,"Western Europe",2.05552423165018,425.493515951587,6.57767754128058,0.411104846330036,176.775083921916,,"Luxembourg :LU:",611.312906492764
