"year","Public.water.supply","Others","Manufacturing","Agriculture","Electricity.cooling"
2000,238.057713104495,25.0250553170531,257.186592265145,434.460228717947,599.383895938373
2001,238.407322858682,25.3243830075209,182.323564949031,425.862872525099,590.687932466968
2002,235.182881567085,24.5004177965136,224.030822418364,394.754763920397,589.483985284931
2003,237.567955686484,24.8347101287895,181.759767938625,395.723176592191,589.34387273097
2004,232.861418559697,23.4334457415411,182.781887445328,375.10631262362,580.16570194001
2005,254.82755353581,21.6553133957534,175.737953504499,370.207174077251,567.328553759793
2006,250.218473841272,21.1210515988231,184.351302711277,352.966568909733,557.842400290679
2007,247.744882420952,21.2251136704467,200.279037454553,355.857570468036,549.210755069822
2008,247.278705641128,22.8674381914458,175.268640647044,357.35901202466,542.213586073648
2009,245.80178597017,22.6101128863253,158.360273679765,379.875374424258,531.320563970478
2010,238.016418539137,23.4932870328258,172.245638108783,339.970806949061,496.724872567414
2011,238.001377003555,23.0367208780339,171.50532357628,371.431550649361,479.301614425233
2012,238.715427506483,24.6670147326575,162.339941942666,369.775656499305,468.680104810752
2013,235.76581479332,21.0199830984635,159.173887115416,362.120081669489,435.466194601347
2014,233.24844907297,19.868239284211,157.374110835581,362.386432844547,425.768060022069
2015,236.510831770279,19.0042534342514,154.296026687965,361.398397221816,413.428704189054
2016,238.281874734776,18.2206047369811,155.185631159695,350.809695196916,400.931004020564
2017,237.956945732935,17.5602325420737,162.656141426469,345.528379719939,388.620132466082
2018,239.348217731942,17.3263164365396,162.055743273315,345.628751397032,370.109251006832
2019,238.525358769821,17.6585000531943,162.044872056702,346.984801239847,352.726973854267
2020,238.350000849692,17.3722146601056,155.660149219531,368.261739355147,365.764652261323
2021,247.834784282583,16.9391199422387,174.411859210838,363.765265854766,372.448653950519
2022,251.799511299674,17.250829768725,177.534940293676,369.107236420748,411.165398906391
2023,248.068454804022,16.9570242014291,154.28574156683,360.628327502249,390.698987074416
