Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,SE,Sweden,2000,162,,,,,,WAT007 2000-2022
EU,SE,Sweden,2001,151,,,,,,WAT007 2000-2022
EU,SE,Sweden,2002,140,,,,,,WAT007 2000-2022
EU,SE,Sweden,2003,129,,,,,,WAT007 2000-2022
EU,SE,Sweden,2004,118,,,,,,WAT007 2000-2022
EU,SE,Sweden,2005,107,,,,,,WAT007 2000-2022
EU,SE,Sweden,2006,103.6,,,,,,WAT007 2000-2022
EU,SE,Sweden,2007,100.2,,,,,,WAT007 2000-2022
EU,SE,Sweden,2008,96.8,,,,,,WAT007 2000-2022
EU,SE,Sweden,2009,93.4,,,,,,WAT007 2000-2022
EU,SE,Sweden,2010,90,,,,,,WAT007 2000-2022
EU,SE,Sweden,2011,87.2,,,,,,WAT007 2000-2022
EU,SE,Sweden,2012,84.4,,,,,,WAT007 2000-2022
EU,SE,Sweden,2013,81.6,,,,,,WAT007 2000-2022
EU,SE,Sweden,2014,78.8,,,,,,WAT007 2000-2022
EU,SE,Sweden,2015,76,,,,,,WAT007 2000-2022
EU,SE,Sweden,2016,81.6,,,,,,WAT007 2000-2022
EU,SE,Sweden,2017,87.2,,,,,,WAT007 2000-2022
EU,SE,Sweden,2018,92.8,,,,,,WAT007 2000-2022
EU,SE,Sweden,2019,98.4,,,,,,WAT007 2000-2022
EU,SE,Sweden,2020,104,,,,,,WAT007 2000-2022
EU,SE,Sweden,2021,99.7,,,,,,WAT007 2000-2022
EU,SE,Sweden,2022,96.1,,,,,,WAT007 2000-2022
EU,SE,Sweden,2023,87.9,,,,,,EEA estimate based on ESTAT Utilised Agricultural Area 
EU,SE,Sweden,2000,,,,,11,,WAT007 2000-2022
EU,SE,Sweden,2001,,,,,23.6,,WAT007 2000-2022
EU,SE,Sweden,2002,,,,,24.2,,WAT007 2000-2022
EU,SE,Sweden,2003,,,,,24.8,,WAT007 2000-2022
EU,SE,Sweden,2004,,,,,25.4,,WAT007 2000-2022
EU,SE,Sweden,2005,,,,,15,,WAT007 2000-2022
EU,SE,Sweden,2006,,,,,14.4,,WAT007 2000-2022
EU,SE,Sweden,2007,,,,,13.8,,WAT007 2000-2022
EU,SE,Sweden,2008,,,,,13.2,,WAT007 2000-2022
EU,SE,Sweden,2009,,,,,12.6,,WAT007 2000-2022
EU,SE,Sweden,2010,,,,,12,,WAT007 2000-2022
EU,SE,Sweden,2011,,,,,20.8,,WAT007 2000-2022
EU,SE,Sweden,2012,,,,,29.6,,WAT007 2000-2022
EU,SE,Sweden,2013,,,,,38.4,,WAT007 2000-2022
EU,SE,Sweden,2014,,,,,47.2,,WAT007 2000-2022
EU,SE,Sweden,2015,,,,,56,,WAT007 2000-2022
EU,SE,Sweden,2016,,,,,58.6,,WAT007 2000-2022
EU,SE,Sweden,2017,,,,,61.2,,WAT007 2000-2022
EU,SE,Sweden,2018,,,,,63.8,,WAT007 2000-2022
EU,SE,Sweden,2019,,,,,66.4,,WAT007 2000-2022
EU,SE,Sweden,2020,,,,,69,,WAT007 2000-2022
EU,SE,Sweden,2000,,,,1406,,,WAT007 2000-2022
EU,SE,Sweden,2001,,,,1406.6,,,WAT007 2000-2022
EU,SE,Sweden,2002,,,,1407.2,,,WAT007 2000-2022
EU,SE,Sweden,2003,,,,1407.8,,,WAT007 2000-2022
EU,SE,Sweden,2004,,,,1408.4,,,WAT007 2000-2022
EU,SE,Sweden,2005,,,,1406,,,WAT007 2000-2022
EU,SE,Sweden,2006,,,,1438.7,,,WAT007 2000-2022
EU,SE,Sweden,2007,,,,1469.2,,,WAT007 2000-2022
EU,SE,Sweden,2008,,,,1500,,,WAT007 2000-2022
EU,SE,Sweden,2009,,,,1529.5,,,WAT007 2000-2022
EU,SE,Sweden,2010,,,,1565,,,WAT007 2000-2022
EU,SE,Sweden,2011,,,,1492.6,,,WAT007 2000-2022
EU,SE,Sweden,2012,,,,1420.2,,,WAT007 2000-2022
EU,SE,Sweden,2013,,,,1347.8,,,WAT007 2000-2022
EU,SE,Sweden,2014,,,,1275.4,,,WAT007 2000-2022
EU,SE,Sweden,2015,,,,1203,,,WAT007 2000-2022
EU,SE,Sweden,2016,,,,1215.6,,,WAT007 2000-2022
EU,SE,Sweden,2017,,,,1228.2,,,WAT007 2000-2022
EU,SE,Sweden,2018,,,,1240.8,,,WAT007 2000-2022
EU,SE,Sweden,2019,,,,1253.4,,,WAT007 2000-2022
EU,SE,Sweden,2020,,,,1266,,,WAT007 2000-2022
EU,SE,Sweden,2021,,,,813.3,,,WAT007 2000-2022
EU,SE,Sweden,2022,,,,931,,,WAT007 2000-2022
EU,SE,Sweden,2023,,,,955.7,,,EEA estimate based on ESTAT DEF_DISS_DS-056121
EU,SE,Sweden,2000,,,97,,,,WAT007 2000-2022
EU,SE,Sweden,2001,,,98.2,,,,WAT007 2000-2022
EU,SE,Sweden,2002,,,99.4,,,,WAT007 2000-2022
EU,SE,Sweden,2003,,,100.6,,,,WAT007 2000-2022
EU,SE,Sweden,2004,,,101.8,,,,WAT007 2000-2022
EU,SE,Sweden,2005,,,103.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2006,,,109.5,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2007,,,115.9,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2008,,,122.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2009,,,128.7,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2010,,,135.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2011,,,124.7,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2012,,,114.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2013,,,103.9,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2014,,,93.5,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2015,,,83.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2016,,,82.7,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2017,,,82.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2018,,,81.9,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2019,,,81.5,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2020,,,81.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2021,,,113.6,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,SE,Sweden,2022,,,114.9,,,,WAT007 2000-2022
EU,SE,Sweden,2023,,,110.8,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf
EU,SE,Sweden,2000,,,,,,923,WAT007 2000-2022
EU,SE,Sweden,2001,,,,,,916.6,WAT007 2000-2022
EU,SE,Sweden,2002,,,,,,910.2,WAT007 2000-2022
EU,SE,Sweden,2003,,,,,,903.8,WAT007 2000-2022
EU,SE,Sweden,2004,,,,,,897.4,WAT007 2000-2022
EU,SE,Sweden,2005,,,,,,891,WAT007 2000-2022
EU,SE,Sweden,2006,,,,,,894.4,WAT007 2000-2022
EU,SE,Sweden,2007,,,,,,897.8,WAT007 2000-2022
EU,SE,Sweden,2008,,,,,,901.2,WAT007 2000-2022
EU,SE,Sweden,2009,,,,,,904.6,WAT007 2000-2022
EU,SE,Sweden,2010,,,,,,908,WAT007 2000-2022
EU,SE,Sweden,2011,,,,,,899,WAT007 2000-2022
EU,SE,Sweden,2012,,,,,,890,WAT007 2000-2022
