Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

Non-EU,AL,Albania,2000,912.9,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2001,830.9,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2002,776.8,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2003,748.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2004,686.3,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2005,711.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2006,681,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2007,609.7,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2008,732.9,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2009,700,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2010,671,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2011,817.9,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2012,754.8,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2013,710.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2014,668.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2015,660.9,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2016,722.7,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2017,699.5,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2018,653.1,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2019,620.3,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2020,545.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2021,564.3,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2022,567.4,,,,,,WAT007 2000-2022
Non-EU,AL,Albania,2023,562.9,,,,,,ESTAT env_wat_a
Non-EU,AL,Albania,2000,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2001,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2002,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2003,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2004,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2005,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2006,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2007,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2008,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2009,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2010,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2011,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2012,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2013,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2014,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2015,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2016,,,,,0,,WAT007 2000-2022
Non-EU,AL,Albania,2017,,,,,11,,WAT007 2000-2022
Non-EU,AL,Albania,2018,,,,,11.1,,WAT007 2000-2022
Non-EU,AL,Albania,2019,,,,,10.6,,WAT007 2000-2022
Non-EU,AL,Albania,2020,,,,,10.9,,WAT007 2000-2022
Non-EU,AL,Albania,2021,,,,,6.3,,WAT007 2000-2022
Non-EU,AL,Albania,2022,,,,,6.6,,WAT007 2000-2022
Non-EU,AL,Albania,2023,,,,,6.5,,ESTAT env_wat_a
Non-EU,AL,Albania,2000,,,,227.4,,,WAT007 2000-2022
Non-EU,AL,Albania,2001,,,,227.4,,,WAT007 2000-2022
Non-EU,AL,Albania,2002,,,,227.4,,,WAT007 2000-2022
Non-EU,AL,Albania,2003,,,,213,,,WAT007 2000-2022
Non-EU,AL,Albania,2004,,,,219.9,,,WAT007 2000-2022
Non-EU,AL,Albania,2005,,,,231.8,,,WAT007 2000-2022
Non-EU,AL,Albania,2006,,,,231.6,,,WAT007 2000-2022
Non-EU,AL,Albania,2007,,,,272.6,,,WAT007 2000-2022
Non-EU,AL,Albania,2008,,,,296.5,,,WAT007 2000-2022
Non-EU,AL,Albania,2009,,,,329,,,WAT007 2000-2022
Non-EU,AL,Albania,2010,,,,378.4,,,WAT007 2000-2022
Non-EU,AL,Albania,2011,,,,424.8,,,WAT007 2000-2022
Non-EU,AL,Albania,2012,,,,402.2,,,WAT007 2000-2022
Non-EU,AL,Albania,2013,,,,370.9,,,WAT007 2000-2022
Non-EU,AL,Albania,2014,,,,370.9,,,WAT007 2000-2022
Non-EU,AL,Albania,2015,,,,370.9,,,WAT007 2000-2022
Non-EU,AL,Albania,2016,,,,371,,,WAT007 2000-2022
Non-EU,AL,Albania,2017,,,,4.6,,,WAT007 2000-2022
Non-EU,AL,Albania,2018,,,,4,,,WAT007 2000-2022
Non-EU,AL,Albania,2019,,,,3.6,,,WAT007 2000-2022
Non-EU,AL,Albania,2020,,,,3.3,,,WAT007 2000-2022
Non-EU,AL,Albania,2021,,,,3.1,,,WAT007 2000-2022
Non-EU,AL,Albania,2022,,,,3.3,,,WAT007 2000-2022
Non-EU,AL,Albania,2023,,,,3.3,,,ESTAT env_wat_a
Non-EU,AL,Albania,2000,,,30.1,,,,WAT007 2000-2022
Non-EU,AL,Albania,2001,,,13.7,,,,WAT007 2000-2022
Non-EU,AL,Albania,2002,,,25,,,,WAT007 2000-2022
